SID,
https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&mfdId=3943,small cap
https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&mfdId=3946,MidCap
https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&mfdId=13820,flexicap
https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&mfdId=3952,largecap
https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&mfdId=3949,elss
,
Factsheet,
https://www.icicipruamc.com/blob/knowledgecentre/factsheet-schemes/Schemes/1.%20Equity%20Schemes/ICICI%20Prudential%20Midcap%20Fund.pdf,Midcap
https://www.icicipruamc.com/blob/knowledgecentre/factsheet-schemes/Schemes/1.%20Equity%20Schemes/ICICI%20Prudential%20ELSS%20Tax%20Saver%20Fund.pdf,ELSS
https://www.icicipruamc.com/blob/knowledgecentre/factsheet-schemes/Schemes/1.%20Equity%20Schemes/ICICI%20Prudential%20Large%20Cap%20Fund.pdf,Largecap
https://www.icicipruamc.com/blob/knowledgecentre/factsheet-schemes/Schemes/1.%20Equity%20Schemes/ICICI%20Prudential%20Smallcap%20Fund.pdf,small cap
https://www.icicipruamc.com/blob/knowledgecentre/factsheet-schemes/Schemes/1.%20Equity%20Schemes/ICICI%20Prudential%20Flexicap%20Fund.pdf,flexi cap
,
KIM,
https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&mfdId=4562,small cap
http://sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&mfdId=4563,midcap
https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&mfdId=4571,large cap
https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&mfdId=13821,flexicap
https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&mfdId=4568,elss
,
SAI,
https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doGetFundDetails=yes&type=1&mfId=21,
,
Groww scheme specific data and FAQs,
https://groww.in/mutual-funds/icici-prudential-large-cap-fund-direct-growth,large cap
https://groww.in/mutual-funds/icici-prudential-midcap-fund-direct-growth,mid cap
https://groww.in/mutual-funds/icici-prudential-smallcap-fund-direct-growth,small cap
https://groww.in/mutual-funds/icici-prudential-flexicap-fund-direct-growth,flexi cap
https://groww.in/mutual-funds/icici-prudential-elss-tax-saver-direct-plan-growth,elss
,
ICICI Mutual fund FAQ,
https://www.icicipruamc.com/help-center/faqs,